"STATE","FDID","INC_NO","INC_TYPE","OTH_DEATH","FF_DEATH","total","year","region"
"FL","16072","2016968",111,1,0,1,"2012","south"
"FL","17012","0004844",111,1,0,1,"2012","south"
"FL","17022","0006919",111,1,0,1,"2012","south"
"FL","17022","0009745",111,1,0,1,"2012","south"
"FL","18011","0001478",111,1,0,1,"2012","south"
"FL","18062","0054239",121,1,0,1,"2012","south"
"FL","18062","0057414",121,1,0,1,"2012","south"
"FL","18092","0081405",111,1,0,1,"2012","south"
"FL","19172","0000005",111,1,0,1,"2012","south"
"FL","20151","0016913",111,1,0,1,"2012","south"
"FL","26032","0001083",111,1,0,1,"2012","south"
"FL","28042","0019569",121,1,0,1,"2012","south"
"FL","28042","0029233",111,2,0,2,"2012","south"
"FL","28042","0033920",111,1,0,1,"2012","south"
"FL","29091","1104031",111,1,0,1,"2012","south"
"FL","43011","0030162",121,1,0,1,"2012","south"
"FL","43072","0001285",111,1,0,1,"2012","south"
"FL","45081","0120229",120,1,0,1,"2012","south"
"FL","47000","0000752",121,1,0,1,"2012","south"
"FL","49031","299",111,1,0,1,"2012","south"
"FL","50012","1201085",111,1,0,1,"2012","south"
"FL","51101","0009480",121,1,0,1,"2012","south"
"FL","54521","1211045",111,1,0,1,"2012","south"
"FL","61041","1206776",111,1,0,1,"2012","south"
"GA","01101","15312",111,1,0,1,"2012","south"
"GA","02201","0003460",111,2,0,2,"2012","south"
"GA","02303","0000889",112,1,0,1,"2012","south"
"GA","02509","1200145",111,1,0,1,"2012","south"
"GA","02509","1200230",111,1,0,1,"2012","south"
"GA","02509","1201289",111,1,0,1,"2012","south"
"GA","02801","0001022",111,1,0,1,"2012","south"
"GA","02901","0002851",111,2,0,2,"2012","south"
"GA","03103","0000440",111,1,0,1,"2012","south"
"GA","03301","0035446",111,1,0,1,"2012","south"
"GA","03302","0001623",111,1,0,1,"2012","south"
"GA","03502","0000700",111,1,0,1,"2012","south"
"GA","04002","0000234",111,1,0,1,"2012","south"
"GA","04302","0018424",111,1,0,1,"2012","south"
"GA","04701","0000001",111,1,0,1,"2012","south"
"GA","04701","0000962",111,1,0,1,"2012","south"
"GA","05603","0002999",111,1,0,1,"2012","south"
"GA","05702","0000466",121,1,0,1,"2012","south"
"GA","05801","0010246",121,1,0,1,"2012","south"
"GA","06001","1209941",111,1,0,1,"2012","south"
"GA","06001","1213225",111,1,0,1,"2012","south"
"GA","06077","0001701",111,1,0,1,"2012","south"
"GA","06701","1206145",111,1,0,1,"2012","south"
"GA","06701","1261352",111,1,0,1,"2012","south"
"GA","06903","0002827",111,1,0,1,"2012","south"
"GA","07204","0000233",111,1,0,1,"2012","south"
"GA","07501","0013566",111,1,0,1,"2012","south"
"GA","07601","0001408",111,1,0,1,"2012","south"
"GA","07609","0120306",111,1,0,1,"2012","south"
"GA","07609","0121020",111,1,0,1,"2012","south"
"GA","08705","0000339",111,1,0,1,"2012","south"
"GA","08801","0000079",121,2,0,2,"2012","south"
"GA","09601","1200014",111,2,0,2,"2012","south"
"GA","10601","0000037",111,1,0,1,"2012","south"
"GA","10601","0004364",111,1,0,1,"2012","south"
"GA","11301","0000009",121,1,0,1,"2012","south"
"GA","11301","0000052",111,1,0,1,"2012","south"
"GA","12102","0008055",111,1,0,1,"2012","south"
"GA","12102","0011535",111,1,0,1,"2012","south"
"GA","12202","0005739",111,2,0,2,"2012","south"
"GA","12803","1201211",121,1,0,1,"2012","south"
"GA","12900","0000959",111,1,0,1,"2012","south"
"GA","14102","0001910",111,1,0,1,"2012","south"
"GA","14102","0001918",111,1,0,1,"2012","south"
"GA","14801","0000456",121,1,0,1,"2012","south"
"GA","15103","0000004",111,1,0,1,"2012","south"
"GA","15401","0111330",111,1,0,1,"2012","south"
"GA","15901","0000524",111,1,0,1,"2012","south"
"HI","52000","0016219",111,1,0,1,"2012","west"
"HI","52000","0049098",111,1,0,1,"2012","west"
"IA","04001","0000024",111,1,0,1,"2012","midwest"
"IA","08003","0000931",111,1,0,1,"2012","midwest"
"IA","31006","2012179",111,1,0,1,"2012","midwest"
"IA","31007","0001061",111,1,0,1,"2012","midwest"
"IA","51002","9",100,1,0,1,"2012","midwest"
"IA","52009","76-12",111,1,0,1,"2012","midwest"
"IA","57003","1201544",111,1,0,1,"2012","midwest"
"IA","57003","1205525",111,1,0,1,"2012","midwest"
"IA","67005","0000032",111,1,0,1,"2012","midwest"
"IA","77008","0002811",111,1,0,1,"2012","midwest"
"IA","77008","0005764",111,1,0,1,"2012","midwest"
"IA","77008","0016873",111,1,0,1,"2012","midwest"
"IA","78004","0005032",111,1,0,1,"2012","midwest"
"IA","78004","0007824",111,1,0,1,"2012","midwest"
"IA","79003","1200034",121,1,0,1,"2012","midwest"
"IA","90009","0000831",163,1,0,1,"2012","midwest"
"IA","97013","0003372",111,1,0,1,"2012","midwest"
"IA","97013","0005115",111,1,0,1,"2012","midwest"
"ID","01100","8004104",111,1,0,1,"2012","west"
"ID","01100","8010640",111,1,0,1,"2012","west"
"ID","05101","0962",111,1,0,1,"2012","west"
"ID","11101","0002407",111,1,0,1,"2012","west"
"ID","55234","0003594",111,1,0,1,"2012","west"
"ID","55338","2012016",111,2,0,2,"2012","west"
"IL","BB111","0000507",111,3,0,3,"2012","midwest"
"IL","CB152","0000035",111,1,0,1,"2012","midwest"
"IL","CC132","0000038",111,2,0,2,"2012","midwest"
"IL","CF123","0012015",111,1,0,1,"2012","midwest"
"IL","CH194","012-128",111,1,0,1,"2012","midwest"
"IL","CJ174","1204121",111,1,0,1,"2012","midwest"
"IL","CN161","0009156",111,1,0,1,"2012","midwest"
"IL","CN171","0009476",111,1,0,1,"2012","midwest"
"IL","CN282","0002088",111,1,0,1,"2012","midwest"
"IL","CN342","0004645",111,1,0,1,"2012","midwest"
"IL","CS152","0005895",111,1,0,1,"2012","midwest"
"IL","CS271","0000032",111,1,0,1,"2012","midwest"
"IL","CS542","0000360",100,1,0,1,"2012","midwest"
"IL","CS632","0001474",111,1,0,1,"2012","midwest"
"IL","CS732","01201",111,1,0,1,"2012","midwest"
"IL","CS732","01573",111,2,0,2,"2012","midwest"
"IL","CS931","0005531",111,1,0,1,"2012","midwest"
"IL","CS931","0013562",111,1,0,1,"2012","midwest"
"IL","CS931","0035734",111,1,0,1,"2012","midwest"
"IL","CS931","0043579",111,2,0,2,"2012","midwest"
"IL","CS931","0045946",100,1,0,1,"2012","midwest"
"IL","CS931","0078791",111,2,0,2,"2012","midwest"
"IL","CS931","0082734",100,1,0,1,"2012","midwest"
"IL","CS931","0133425",111,1,0,1,"2012","midwest"
"IL","CS931","0164035",111,2,0,2,"2012","midwest"
"IL","CS931","0190324",111,1,0,1,"2012","midwest"
"IL","CS931","0279886",111,1,0,1,"2012","midwest"
"IL","CS931","0386226",111,1,0,1,"2012","midwest"
"IL","CS931","0462413",111,1,0,1,"2012","midwest"
"IL","CS931","0512419",111,2,0,2,"2012","midwest"
"IL","CS931","0552963",111,1,0,1,"2012","midwest"
"IL","CS931","0561818",111,1,0,1,"2012","midwest"
"IL","CS931","0638959",111,1,0,1,"2012","midwest"
"IL","CS931","0715138",111,1,0,1,"2012","midwest"
"IL","CS931","0759689",111,2,0,2,"2012","midwest"
"IL","DB112","0000599",111,1,0,1,"2012","midwest"
"IL","DD182","0003350",111,1,0,1,"2012","midwest"
"IL","DD312","0003499",111,1,0,1,"2012","midwest"
"IL","DD342","0002596",111,1,0,1,"2012","midwest"
"IL","FB133","0012017",111,1,0,1,"2012","midwest"
"IL","FC122","0000279",111,1,0,1,"2012","midwest"
"IL","FD253","0120442",111,1,0,1,"2012","midwest"
"IL","GB123","1200008",111,2,0,2,"2012","midwest"
"IL","GC164","0001466",111,1,0,1,"2012","midwest"
"IL","JC151","0000098",111,1,0,1,"2012","midwest"
"IL","JC151","0001431",111,1,0,1,"2012","midwest"
"IL","KC113","0000730",111,1,0,1,"2012","midwest"
"IL","KC138","2120054",111,1,0,1,"2012","midwest"
"IL","LA201","0003222",111,1,0,1,"2012","midwest"
"IL","LA382","0000642",111,1,0,1,"2012","midwest"
"IL","LA401","0008185",111,1,0,1,"2012","midwest"
"IL","MC292","0000709",111,2,0,2,"2012","midwest"
"IL","MC313","0000467",121,1,0,1,"2012","midwest"
"IL","MC313","0000494",100,1,0,1,"2012","midwest"
"IL","MC373","0000002",111,1,0,1,"2012","midwest"
"IL","MC394","1200002",111,1,0,1,"2012","midwest"
"IL","MN118","0000147",111,1,0,1,"2012","midwest"
"IL","MP168","2012083",111,1,0,1,"2012","midwest"
"IL","PA111","1201539",111,3,0,3,"2012","midwest"
"IL","PA111","1204558",111,1,0,1,"2012","midwest"
"IL","PA111","1210260",111,1,0,1,"2012","midwest"
"IL","PB132","1200005",111,1,0,1,"2012","midwest"
"IL","PE128","0001901",111,3,0,3,"2012","midwest"
"IL","SA122","0000079",111,1,0,1,"2012","midwest"
"IL","SB111","0012399",111,1,0,1,"2012","midwest"
"IL","SB111","0012798",111,1,0,1,"2012","midwest"
"IL","SB111","0013754",111,1,0,1,"2012","midwest"
"IL","SB111","0015973",111,1,0,1,"2012","midwest"
"IL","SE134","0012057",100,1,0,1,"2012","midwest"
"IL","SG211","0001341",111,2,0,2,"2012","midwest"
"IL","SG482","0000028",111,1,0,1,"2012","midwest"
"IL","TA303","0012064",111,1,0,1,"2012","midwest"
"IL","WG183","0000687",111,1,0,1,"2012","midwest"
"IL","WH201","2012261",111,1,0,1,"2012","midwest"
"IN","01003","0000108",111,1,0,1,"2012","midwest"
"IN","02005","0013849",111,1,0,1,"2012","midwest"
"IN","02012","1200327",111,1,0,1,"2012","midwest"
"IN","14008","0000252",111,1,0,1,"2012","midwest"
"IN","26012","0000447",111,1,0,1,"2012","midwest"
"IN","28003","0000251",111,1,0,1,"2012","midwest"
"IN","53003","0000917",111,1,0,1,"2012","midwest"
"IN","55010","0000418",111,1,0,1,"2012","midwest"
"IN","57001","12228",120,1,0,1,"2012","midwest"
"IN","63004","0000145",111,1,0,1,"2012","midwest"
"IN","68010","0327024",111,1,0,1,"2012","midwest"
"IN","71002","0003642",111,1,0,1,"2012","midwest"
"IN","73003","0012186",111,1,0,1,"2012","midwest"
"IN","76001","0001346",111,1,0,1,"2012","midwest"
"IN","79010","0000168",111,1,0,1,"2012","midwest"
"IN","82001","1280284",111,1,0,1,"2012","midwest"
"IN","88011","0000089",122,1,0,1,"2012","midwest"
"KS","BA305","0000005",111,1,0,1,"2012","midwest"
"KS","BR411","1200007",111,1,0,1,"2012","midwest"
"KS","EL202","0000854",111,1,0,1,"2012","midwest"
"KS","FI101","0000017",111,3,0,3,"2012","midwest"
"KS","FO101","0001021",111,2,0,2,"2012","midwest"
"KS","JO101","0320141",111,1,0,1,"2012","midwest"
"KS","LB101","0000591",111,1,0,1,"2012","midwest"
"KS","MG203","0000405",160,1,0,1,"2012","midwest"
"KS","NO201","1200244",111,1,0,1,"2012","midwest"
"KS","RO303","0000041",111,1,0,1,"2012","midwest"
"KS","SG111","0008659",111,1,0,1,"2012","midwest"
"KS","SG111","0027111",111,1,0,1,"2012","midwest"
"KS","SG111","0059684",111,2,0,2,"2012","midwest"
"KS","SG111","0060704",111,1,0,1,"2012","midwest"
"KS","SG402","0036695",111,1,0,1,"2012","midwest"
"KS","SN101","1471",111,4,0,4,"2012","midwest"
"KS","SN101","4596",111,1,0,1,"2012","midwest"
"KS","SN101","11764",111,1,0,1,"2012","midwest"
"KS","WY101","2001003",112,1,0,1,"2012","midwest"
"KS","WY101","2016946",111,1,0,1,"2012","midwest"
"KS","WY101","2022140",111,1,0,1,"2012","midwest"
"KY","01001","0000011",121,1,0,1,"2012","south"
"KY","05015","0000499",111,1,0,1,"2012","south"
"KY","30140","0002511",111,1,0,1,"2012","south"
"KY","30140","0005874",111,1,0,1,"2012","south"
"KY","34155","0100398",111,1,0,1,"2012","south"
"KY","34155","0105104",111,1,0,1,"2012","south"
"KY","42190","0021257",111,2,0,2,"2012","south"
"KY","47224","10",111,2,0,2,"2012","south"
"KY","54266","0000127",111,1,0,1,"2012","south"
"KY","56290","0001842",111,1,0,1,"2012","south"
"KY","56290","0018842",111,2,0,2,"2012","south"
"KY","56290","0020119",111,1,0,1,"2012","south"
"KY","56290","0023599",160,1,0,1,"2012","south"
"KY","56290","0032296",111,1,0,1,"2012","south"
"KY","58307","0120132",111,1,1,2,"2012","south"
"KY","58629","02-2012",121,1,0,1,"2012","south"
"KY","58630","0000002",121,1,0,1,"2012","south"
"KY","60829","0013829",121,1,0,1,"2012","south"
"KY","67357","2012137",111,1,0,1,"2012","south"
"KY","69370","027-076",111,2,0,2,"2012","south"
"KY","76386","42",111,1,0,1,"2012","south"
"KY","76387","87",111,1,0,1,"2012","south"
"KY","76936","1",121,1,0,1,"2012","south"
"KY","A2537","12752",111,1,0,1,"2012","south"
"KY","A4540","0000188",111,1,0,1,"2012","south"
"LA","01020","0000229",111,2,0,2,"2012","south"
"LA","05025","0000004",111,1,0,1,"2012","south"
"LA","09060","1201449",111,1,0,1,"2012","south"
"LA","20015","0000059",111,1,0,1,"2012","south"
"LA","26010","0011716",137,1,0,1,"2012","south"
"LA","26046","0000152",111,1,0,1,"2012","south"
"LA","28020","0114130",111,1,0,1,"2012","south"
"LA","28020","0327800",111,1,0,1,"2012","south"
"LA","29067","2012405",111,1,0,1,"2012","south"
"LA","34001","0000451",111,1,0,1,"2012","south"
"LA","37010","0003730",121,1,0,1,"2012","south"
"LA","49035","0000011",111,2,0,2,"2012","south"
"LA","49035","0000477",121,1,0,1,"2012","south"
"LA","51040","2012060",111,1,0,1,"2012","south"
"LA","52030","0000412",121,1,0,1,"2012","south"
"LA","53040","0001265",121,1,0,1,"2012","south"
"LA","53055","213",121,1,0,1,"2012","south"
"LA","58020","0000057",111,1,0,1,"2012","south"
"LA","62010","0000054",121,2,0,2,"2012","south"
"MA","01086","0000286",111,1,0,1,"2012","northeast"
"MA","03236","1660",111,1,0,1,"2012","northeast"
"MA","05016","1204208",111,1,0,1,"2012","northeast"
